experiment,point_index,amplitude_energy_GeV,amplitude_energy_TeV,dipole_amplitude,amplitude_err_minus,amplitude_err_plus,amplitude_lower,amplitude_upper,phase_energy_GeV,phase_energy_TeV,phase_hour,phase_err_minus_hour,phase_err_plus_hour,phase_lower_hour,phase_upper_hour,amplitude_lower_clipped,amplitude_upper_clipped,phase_missing,marker_shape,rgb,vector_x_amplitude_pt,vector_y_amplitude_pt,vector_x_phase_pt,vector_y_phase_pt,extraction_method,source_pdf_page
HAWC-IceCube,1,10000.014938322014,10.000014938322014,0.0012130230340147332,9.812077895413746e-9,0,0.0012130132219368378,0.0012130230340147332,10215.068957087662,10.215068957087663,2.4061790431395327,0,0.00008287514270222118,2.4061790431395327,2.406261918282235,false,false,false,square,"1,0,0",143.9192,122.22490000000005,384.692,133.57855,PDF vector paths only,5
EAS-TOP,1,110067.63662875061,110.0676366287506,0.0002599557517882344,0.00008003867181791542,0.00007993321022757604,0.00017991707997031897,0.00033988896201581043,110066.61354103808,110.06661354103808,0.4014229662001565,1.2019311820752474,1.197596174610922,-0.8005082158750909,1.5990191408110785,false,false,false,square,"1,0.74902,0.12941",198.1085,168.87950000000006,438.4,149.30210000000005,PDF vector paths only,5
EAS-TOP,2,369912.70874357887,369.9127087435789,0.0006399135725338304,0.00024994521989555826,0.0002496948420096317,0.0003899683526382722,0.0008896084145434621,369919.74129919364,369.9197412991936,-10.398916630634584,1.5002306957097247,1.5003594709314676,-11.899147326344309,-8.898557159703117,false,false,false,square,"1,0.74902,0.12941",225.495,141.59530000000007,465.78695000000005,234.01050000000004,PDF vector paths only,5
IceTop,1,500106.84078519983,500.10684078519984,0.0005501807660469943,0.00009039400940728207,0.00008972013008837242,0.00045978675663971226,0.0006399008961353668,500107.43098134897,500.10743098134895,-7.468568725566776,0.6667096448656764,0.666942651516873,-8.135278370432452,-6.801626074049903,false,false,false,triangle_down,"1,0,1",232.308,146.17141874999996,472.59950000000003,211.02741874999995,PDF vector paths only,5
IceTop,2,1600840.0450359448,1600.8400450359447,0.0015503414344836806,0.00015063159741660732,0.0001494534444448669,0.0013997098370670733,0.0016997948789285475,1600890.252157693,1600.890252157693,-5.064679586370158,0.40336049141136243,0.3993808908089598,-5.46804007778152,-4.665298695561198,false,false,false,triangle_down,"1,0,1",258.59400000000005,114.79341874999992,498.88599999999997,192.1734187499999,PDF vector paths only,5
IceCube,1,12994.396796322493,12.994396796322492,0.0007895613757732844,0.000009805763893345164,0.000009947619136609011,0.0007797556118799392,0.0007995089949098934,12993.508755880886,12.993508755880887,3.4019087420366194,0.07013038013075956,0.0659123541178257,3.33177836190586,3.467821096154445,false,false,false,triangle_down,"0,0,1",149.837,135.23041874999993,390.12749999999994,125.76891874999993,PDF vector paths only,5
IceCube,2,24004.18812250418,24.00418812250418,0.0006897133443209792,0.00002005503415061674,0.000019899255817904383,0.0006696583101703624,0.0007096126001388836,24003.180816895652,24.003180816895654,3.265866007788034,0.06579983517410071,0.0659123541178257,3.2000661726139334,3.33177836190586,false,false,false,triangle_down,"0,0,1",163.7025,139.32541874999995,403.9935,126.83591874999993,PDF vector paths only,5
IceCube,3,38019.79655609559,38.01979655609559,0.00046981862799905184,0.000019827826436106546,0.000020182674905374416,0.0004499908015629453,0.0004900013029044263,38020.00489707701,38.02000489707701,3.0685594180507483,0.2017979443458433,0.19739759301897486,2.866761473704905,3.265957011069723,false,false,false,triangle_down,"0,0,1",174.09249999999997,150.95391874999999,414.3845,128.38341874999995,PDF vector paths only,5
IceCube,4,70987.67346090099,70.987673460901,0.00028990411953119214,0.000029944033412281795,0.000030125759598210436,0.00025996008611891034,0.00032002987912940257,70985.22718095317,70.98522718095316,2.800936457237457,0.39923777181253683,0.39912971537647657,2.40169868542492,3.2000661726139334,false,false,false,triangle_down,"0,0,1",188.1995,165.57691874999992,428.4905,130.48241875,PDF vector paths only,5
IceCube,5,129943.32810642458,129.9433281064246,0.00016004515991731506,0.00004011319934534614,0.000039920978772277295,0.00011993196057196892,0.00019996613868959235,129945.14532879715,129.94514532879714,1.7349708717779642,0.8685367548867227,0.8641912286542706,0.8664341168912415,2.5991621004322347,false,false,false,triangle_down,"0,0,1",201.859,183.57091874999995,442.15099999999995,138.84291875,PDF vector paths only,5
IceCube,6,240040.69923535443,240.04069923535442,0.0001100120204724324,0.000050031925330226866,0.00005003257801136869,0.000059980095142205534,0.0001600445984838011,240039.76323059734,240.03976323059734,-4.932971859585926,1.9345068028539032,1.9347423595094995,-6.867478662439829,-2.9982295000764267,false,false,false,triangle_down,"0,0,1",215.72449999999998,194.92491875,456.01599999999996,191.14041875,PDF vector paths only,5
